name_ja,name_en,lat,lng,elevation,area_id,prefecture_id,meizan_rank
天塩岳,"",43.9644444,142.8880555,1558,"",1,200
石狩岳,"",43.5466666,143.0222222,1967,"",1,200
ニペソツ山,"",43.4558333,143.0322222,2013,"",1,200
カムイエクウチカウシ山,"",42.6250000,142.7663888,1979,"",1,200
ペテガリ岳,"",42.4994444,142.8711111,1736,"",1,200
芦別岳,"",43.2358333,142.2836111,1726,"",1,200
夕張岳,"",43.0997222,142.2511111,1668,"",1,200
署寒別岳,"",43.7158333,141.5230555,1492,"",1,200
樽前山,"",42.6905555,141.3766666,1041,"",1,200
駒ヶ岳（剣ヶ峰）,"",42.0633333,140.6772222,1131,"",1,200
白神岳,"",40.5075000,140.0183333,1235,"",2,200
姫神山,"",39.8441666,141.2469444,1124,"",3,200
秋田駒ヶ岳（男女岳）,"",39.7611111,140.7994444,1637,"",5,200
森吉山,"",39.9766666,140.5441666,1454,"",5,200
和賀岳,"",39.5702777,140.7541666,1439,"",3,200
焼石岳,"",39.1636111,140.8288888,1547,"",3,200
栗駒山,"",38.9608333,140.7883333,1626,"",3,200
神室山,"",38.9022222,140.4922222,1365,"",5,200
以東岳,"",38.3430555,139.8491666,1772,"",6,200
船形山（御所山）,"",38.4555555,140.6197222,1500,"",4,200
杁差岳,"",37.9425000,139.6088888,1636,"",15,200
二王子岳,"",37.8997222,139.4991666,1420,"",15,200
御神楽岳,"",37.5219444,139.4258333,1386,"",15,200
守門岳,"",37.3977777,139.1366666,1537,"",15,200
会津朝日岳,"",37.2211111,139.3397222,1624,"",7,200
八海山（入道岳）,"",37.1038888,139.0247222,1778,"",15,200
中ノ岳,"",37.0852777,139.0775000,2085,"",15,200
荒沢岳,"",37.1005555,139.1480555,1969,"",15,200
鳥甲山,"",36.8391666,138.5838888,2038,"",20,200
佐武流山,"",36.7722222,138.6705555,2192,"",15,200
白砂山,"",36.7380555,138.6933333,2140,"",10,200
岩菅山,"",36.7419444,138.5594444,2295,"",20,200
仙ノ倉山,"",36.8175000,138.8394444,2026,"",10,200
帝釈山,"",36.9697222,139.4600000,2060,"",7,200
女峰山,"",36.8113888,139.5363888,2483,"",9,200
浅間隠山,"",36.4536111,138.6525000,1757,"",10,200
榛名山（相馬山）,"",36.4744444,138.9005555,1411,"",10,200
妙義山（相馬岳）,"",36.2986111,138.7488888,1104,"",10,200
荒船山,"",36.2038888,138.6372222,1423,"",10,200
御座山,"",36.0338888,138.6066666,2112,"",20,200
武甲山,"",35.9516666,139.0977777,1304,"",11,200
白石山（和名倉山）,"",35.8994444,138.8780555,2036,"",11,200
茅ヶ岳,"",35.7950000,138.5138888,1704,"",19,200
乾徳山,"",35.8230555,138.7150000,2031,"",19,200
大岳山,"",35.7652777,139.1302777,1266,"",13,200
三ツ峠山,"",35.5491666,138.8091666,1785,"",19,200
