name_ja,name_en,lat,lng,elevation,prefecture_id,area_id,meizan_rank
利尻山（利尻富士）,,45.1786111,141.2419444,1721,1,,100
羅臼岳,,44.0758333,145.1222222,1661,1,,100
斜里岳,,43.7655555,144.7177777,1547,1,,100
阿寒岳（雌阿寒岳）,,43.3866666,144.0088888,1499,1,,100
大雪山（旭岳）,,43.6636111,142.8541666,2291,1,,100
トムラウシ山,,43.5272222,142.8488888,2141,1,,100
十勝岳,,43.4180555,142.6863888,2077,1,,100
幌尻岳,,42.7194444,142.6827777,2052,1,,100
後方羊蹄山（羊蹄山）,,42.8266666,140.8113888,1898,1,,100
岩木山,,40.6558333,140.3030555,1625,2,,100
八甲田山（大岳）,,40.6588888,140.8772222,1585,2,,100
八幡平,,39.9577777,140.8541666,1613,3,,100
岩手山,,39.8525000,141.0011111,2038,3,,100
早池峰山,,39.5586111,141.4886111,1917,3,,100
鳥海山（新山）,,39.0991666,140.0488888,2236,6,,100
月山,,38.5488888,140.0269444,1984,6,,100
朝日岳（大朝日岳）,,38.2605555,139.9222222,1871,6,,100
蔵王山（熊野岳）,,38.1436111,140.4400000,1841,6,,100
飯豊山,,37.8547222,139.7072222,2105,7,,100
吾妻山（西吾妻山）,,37.7383333,140.1408333,2035,6,,100
安達太良山,,37.6211111,140.2877777,1700,7,,100
磐梯山,,37.6008333,140.0722222,1816,7,,100
駒ヶ岳（会津駒ヶ岳）,,37.0475000,139.3536111,2133,7,,100
那須岳（茶臼岳）,,37.1247222,139.9627777,1915,9,,100
駒ヶ岳（越後駒ヶ岳）,,37.1236111,139.0752777,2003,15,,100
平ヶ岳,,37.0019444,139.1708333,2141,10,,100
巻機山,,36.9786111,138.9641666,1967,10,,100
燧ヶ岳（柴安嵓）,,36.9550000,139.2852777,2356,7,,100
至仏山,,36.9036111,139.1733333,2228,10,,100
谷川岳（オキノ耳）,,36.8372222,138.9300000,1977,10,,100
雨飾山,,36.9019444,137.9625000,1963,15,,100
苗場山,,36.8458333,138.6902777,2145,15,,100
妙高山,,36.8913888,138.1136111,2454,15,,100
火打山,,36.9227777,138.0680555,2462,15,,100
高妻山,,36.8000000,138.0519444,2353,15,,100
男体山,,36.7650000,139.4908333,2486,9,,100
白根山（日光白根山）,,36.7986111,139.3758333,2578,10,,100
皇海山,,36.6900000,139.3369444,2144,9,,100
武尊山,,36.8052777,139.1325000,2158,10,,100
赤城山（黒?山）,,36.5602777,139.1933333,1828,10,,100
本白根山（草津白根山）,,36.6227777,138.5319444,2171,10,,100
四阿山,,36.5416666,138.4130555,2354,20,,100
浅間山,,36.4063888,138.5230555,2568,10,,100
筑波山,,36.2252777,140.1066666,877,8,,100
白馬岳,,36.7586111,137.7586111,2932,16,,100
五龍岳,,36.6583333,137.7527777,2814,16,,100
鹿島槍ヶ岳,,36.6244444,137.7469444,2889,16,,100
剱岳,,36.6233333,137.6169444,2999,16,,100
