name_ja,name_en,lat,lng,elevation,area_id,prefecture_id
鴛泊登山口,"",45.2350,141.2260,210,1,1
岩尾別温泉登山口,"",44.1455,145.0630,215,1,1
清里清岳荘登山口,"",43.7650,144.7180,655,1,1
オンネトー登山口,"",43.3860,144.0080,620,3,1
旭岳温泉登山口,"",43.6630,142.8540,1100,3,1
天人峡登山口,"",43.5840,142.7600,700,3,1
望岳台登山口,"",43.4180,142.6870,930,3,1
幌尻岳新冠コース登山口,"",42.7190,142.6830,540,3,1
半月湖野営場登山口,"",42.8540,140.8080,280,2,1
五色温泉登山口,"",42.7700,140.6840,760,2,1
大沼公園登山口,"",42.0630,140.6770,310,64,1
樽前山七合目登山口,"",42.6900,141.3770,930,64,1
嶽温泉登山口,"",40.6590,140.3010,350,4,2
酸ヶ湯登山口,"",40.6480,140.8500,890,4,2
八幡平見返峠登山口,"",39.9575,140.8540,1560,5,3
馬返し登山口,"",39.8520,141.0010,635,5,3
河原坊登山口,"",39.5580,141.4890,640,5,3
いわかがみ平登山口,"",38.9610,140.7860,1115,6,4
刈田峠登山口,"",38.1430,140.4400,1750,7,4
古寺鉱泉登山口,"",38.2710,139.9180,650,9,6
月山八合目登山口,"",38.5480,140.0270,1400,8,6
滝川登山口,"",39.0990,140.0490,670,8,6
川入登山口,"",37.8540,139.7070,560,10,7
浄土平登山口,"",37.7230,140.2460,1580,11,7
奥岳登山口,"",37.6210,140.2880,950,11,7
八方台登山口,"",37.6000,140.0730,1190,11,7
沼山峠登山口,"",36.9550,139.2850,1700,14,7
鳩待峠登山口,"",36.9030,139.1740,1591,14,10
峠の茶屋登山口,"",37.1247,139.9630,1462,12,9
中禅寺湖畔登山口,"",36.7650,139.4910,1280,13,9
菅沼登山口,"",36.7985,139.3760,1730,13,10
銀山平登山口,"",37.1236,139.0753,760,15,15
枝折峠登山口,"",37.1040,139.1440,1065,15,15
奥只見湖登山口,"",37.0019,139.1708,780,15,15
桜坂駐車場登山口,"",36.9786,138.9642,760,15,15
土合口登山口,"",36.8372,138.9300,750,16,10
一ノ倉沢出合登山口,"",36.8375,138.9305,880,16,10
かぐらみつまた登山口,"",36.8390,138.7700,620,16,15
地蔵尾根登山口,"",36.8060,139.1320,1290,16,10
野反湖登山口,"",36.6930,138.6550,1515,17,10
菅平牧場登山口,"",36.5417,138.4131,1320,17,20
筑波山神社登山口,"",36.2253,140.1067,270,22,8
八溝林道登山口,"",36.9303,140.2731,820,23,8
御岳山駅登山口,"",35.8030,139.1460,831,24,13
鴨沢登山口,"",35.8556,138.9440,545,26,19
三峰神社登山口,"",35.9600,138.9300,1100,26,11
西沢渓谷登山口,"",35.9160,138.7310,1120,27,19
大弛峠登山口,"",35.8714,138.6253,2360,27,19
裏高尾登山口,"",35.6380,139.2820,240,28,13
陣馬高原下登山口,"",35.6500,139.1650,330,28,13
大倉登山口,"",35.4408,139.2314,290,29,14
ヤビツ峠登山口,"",35.4470,139.2220,761,29,14
乙女峠登山口,"",35.2897,139.0050,930,30,22
大涌谷登山口,"",35.2450,139.0220,1040,30,14
天城高原登山口,"",34.9010,139.0130,1050,31,22
万二郎岳登山口,"",34.8628,139.0017,950,31,22
富士宮口五合目登山口,"",35.3608,138.7275,2400,32,22
須走口五合目登山口,"",35.3600,138.8480,1970,32,22
吉田口五合目登山口,"",35.3940,138.7320,2305,32,19
北口本宮冨士浅間神社登山口,"",35.4870,138.8010,860,32,19
観音平登山口,"",35.9708,138.3700,1560,33,19
美濃戸口登山口,"",35.9640,138.3910,1720,33,20
渋の湯登山口,"",36.0390,138.3220,1860,33,20
車山肩登山口,"",36.1031,138.1967,1820,33,20
北八ヶ岳ロープウェイ山麓登山口,"",36.1036,138.2950,1770,33,20
猿倉登山口,"",36.7586,137.7586,1250,34,20
栂池自然園登山口,"",36.7820,137.7570,1870,34,20
八方尾根登山口,"",36.6990,137.8380,760,35,20
遠見尾根登山口,"",36.6583,137.7528,820,35,20
扇沢登山口,"",36.5590,137.5500,1433,36,20
室堂登山口,"",36.5760,137.6200,2450,36,16
折立登山口,"",36.4700,137.3900,1350,36,16
新穂高登山口,"",36.2900,137.6480,1110,37,21
上高地バスターミナル登山口,"",36.2496,137.6394,1504,39,20
中房温泉登山口,"",36.4069,137.7128,1460,37,20
畳平登山口,"",36.1064,137.5536,2700,38,21
焼岳中の湯登山口,"",36.2269,137.5869,1540,39,20
田代池登山口,"",36.2500,137.6390,1500,39,20
田の原登山口,"",35.8928,137.4803,2180,40,20
黒沢口登山口,"",35.8920,137.4820,1840,40,20
千畳敷登山口,"",35.7894,137.8044,2612,41,20
桂小場登山口,"",35.7310,138.1800,1260,42,19
北沢峠登山口,"",35.7210,138.1836,2032,42,19
広河原登山口,"",35.6744,138.2389,1520,42,19
奈良田登山口,"",35.5430,138.3150,820,42,19
鳥倉登山口,"",35.5739,138.1831,1660,43,20
芝沢ゲート登山口,"",35.5008,138.1825,1120,43,22
聖沢登山口,"",35.4228,138.1397,940,43,22
易老渡登山口,"",35.3381,138.0839,1180,43,22
別当出合登山口,"",36.1550,136.7714,1260,44,17
市ノ瀬登山口,"",36.1460,136.7800,820,44,17
勝原登山口,"",35.9342,136.6014,420,45,18
温見峠登山口,"",35.7640,136.5200,1080,45,21
伊吹山上野登山口,"",35.4178,136.4064,220,46,25
武平峠登山口,"",35.0206,136.4178,880,46,24
イン谷口登山口,"",35.2647,135.8969,300,47,25
朽木いきものふれあいの里登山口,"",35.2820,135.9480,250,47,25
二ノ瀬登山口,"",35.0603,135.6342,120,48,26
高雄登山口,"",35.0658,135.5750,100,48,26
本山寺登山口,"",34.9000,135.5820,160,49,27
ポンポン山善峯寺登山口,"",34.9330,135.6280,120,49,26
六甲山ロックガーデン登山口,"",34.7781,135.2636,200,50,28
摩耶山上野道登山口,"",34.7440,135.2200,90,50,28
水越峠登山口,"",34.4194,135.6731,520,51,29
ロープウェイ前登山口,"",34.4561,135.6822,110,51,29
大台ヶ原駐車場登山口,"",34.1853,136.1092,1570,52,29
熊野本宮伏拝登山口,"",33.8170,135.7770,320,52,30
行者還トンネル西口登山口,"",34.1736,135.9075,1100,53,29
母公堂登山口,"",34.1730,135.9070,1080,53,29
氷ノ越登山口,"",35.3539,134.5139,860,54,28
わかさ氷ノ山登山口,"",35.3500,134.4600,650,54,31
大山寺橋登山口,"",35.3711,133.5461,760,55,31
南光河原駐車場登山口,"",35.3710,133.5450,780,55,31
下蒜山登山口,"",35.3250,133.6633,580,55,33
東の原登山口,"",35.1406,132.6217,470,55,32
成就社登山口,"",33.7678,133.1150,1450,56,38
見ノ越登山口,"",33.8536,134.0942,1420,56,36
名頃登山口,"",33.8800,134.0200,1100,56,36
土小屋登山口,"",33.7890,133.1150,1490,56,38
瓶ヶ森林道東黒森登山口,"",33.7950,133.1940,1500,56,39
英彦山正面登山口,"",33.4761,130.9261,760,57,40
宝満山竈門神社登山口,"",33.5200,130.5660,120,57,40
牧ノ戸登山口,"",33.0822,131.2408,1330,58,44
長者原登山口,"",33.1120,131.2450,1030,58,44
仙酔峡登山口,"",32.8844,131.1039,1120,58,43
高森峠登山口,"",32.8600,131.1800,900,58,43
北谷登山口,"",32.8281,131.3469,820,59,44
九折登山口,"",32.8389,131.4758,740,59,45
由布岳正面登山口,"",33.2822,131.3903,780,60,44
鶴見岳ロープウェイ山麓登山口,"",33.2867,131.4297,500,60,44
えびの高原登山口,"",31.9342,130.8617,1200,61,46
高千穂河原登山口,"",31.8864,130.9189,970,61,46
かいもん山麓ふれあい公園登山口,"",31.1800,130.5283,120,61,46
淀川登山口,"",30.3361,130.5042,1360,62,46
白谷雲水峡登山口,"",30.3920,130.5650,600,62,46
ヤクスギランド登山口,"",30.3370,130.6360,1000,62,46
辺戸岬登山口,"",26.8700,128.2650,80,63,47
与那覇岳登山口,"",26.7400,128.2200,310,63,47
